timestamp,game,latency,map,killer,victim,points
2024-05-23 12:48:45,11,50,aggressor,Player_172.19.114.48,Player_172.19.137.208,10
2024-05-23 12:48:47,11,50,aggressor,Player_172.19.117.18,Player_172.19.120.104,9
2024-05-23 12:48:47,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,9
2024-05-23 12:48:54,11,50,aggressor,Player_172.19.117.18,Player_172.19.114.48,11
2024-05-23 12:48:55,11,50,aggressor,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 12:48:57,11,50,aggressor,Player_172.19.137.208,Player_172.19.117.18,7
2024-05-23 12:49:00,11,50,aggressor,Player_172.19.114.48,Player_172.19.120.104,11
2024-05-23 12:49:03,11,50,aggressor,Player_172.19.117.18,Player_172.19.116.18,12
2024-05-23 12:49:06,11,50,aggressor,Player_172.19.137.208,Player_172.19.117.18,8
2024-05-23 12:49:13,11,50,aggressor,Player_172.19.137.208,Player_172.19.120.104,9
2024-05-23 12:49:13,11,50,aggressor,Player_172.19.117.18,Player_172.19.114.48,13
2024-05-23 12:49:15,11,50,aggressor,Player_172.19.117.18,Player_172.19.137.208,14
2024-05-23 12:49:17,11,50,aggressor,Player_172.19.119.51,Player_172.19.117.18,13
2024-05-23 12:49:21,11,50,aggressor,Player_172.19.137.208,Player_172.19.116.18,10
2024-05-23 12:49:24,11,50,aggressor,Player_172.19.137.208,Player_172.19.119.51,11
2024-05-23 12:49:30,11,50,aggressor,Player_172.19.119.51,Player_172.19.116.18,14
2024-05-23 12:49:33,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,15
2024-05-23 12:49:35,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,16
2024-05-23 12:49:35,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,15
2024-05-23 12:49:44,11,50,aggressor,Player_172.19.137.208,Player_172.19.120.104,0
2024-05-23 12:49:48,11,50,aggressor,Player_172.19.114.48,Player_172.19.137.208,12
2024-05-23 12:49:51,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,0
2024-05-23 12:49:55,11,50,aggressor,Player_172.19.116.18,Player_172.19.120.104,2
2024-05-23 12:49:58,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,16
2024-05-23 12:50:00,11,50,aggressor,Player_172.19.114.48,Player_172.19.116.18,14
2024-05-23 12:50:06,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,17
2024-05-23 12:50:07,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,15
2024-05-23 12:50:07,11,50,aggressor,Player_172.19.114.48,Player_172.19.114.48,15
2024-05-23 12:50:23,11,50,aggressor,Player_172.19.114.48,Player_172.19.116.18,15
2024-05-23 12:50:25,11,50,aggressor,Player_172.19.114.48,Player_172.19.137.208,16
2024-05-23 12:50:26,11,50,aggressor,<world>,Player_172.19.119.51,16
2024-05-23 12:50:30,11,50,aggressor,Player_172.19.117.18,Player_172.19.116.18,17
2024-05-23 12:50:30,11,50,aggressor,Player_172.19.114.48,Player_172.19.114.48,15
2024-05-23 12:50:35,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,17
2024-05-23 12:50:43,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,18
2024-05-23 12:50:47,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,18
2024-05-23 12:50:48,11,50,aggressor,Player_172.19.114.48,Player_172.19.116.18,16
2024-05-23 12:50:51,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,17
2024-05-23 12:50:53,11,50,aggressor,Player_172.19.137.208,Player_172.19.116.18,13
2024-05-23 12:50:55,11,50,aggressor,Player_172.19.137.208,Player_172.19.114.48,14
2024-05-23 12:50:58,11,50,aggressor,Player_172.19.137.208,Player_172.19.117.18,15
2024-05-23 12:51:01,11,50,aggressor,Player_172.19.116.18,Player_172.19.114.48,3
2024-05-23 12:51:02,11,50,aggressor,Player_172.19.137.208,Player_172.19.116.18,16
2024-05-23 12:51:03,11,50,aggressor,Player_172.19.117.18,Player_172.19.120.104,0
2024-05-23 12:51:29,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.120.104,1
2024-05-23 12:51:33,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,1
2024-05-23 12:51:36,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,2
2024-05-23 12:51:43,12,50,wrackdm17,Player_172.19.120.104,Player_172.19.116.18,1
2024-05-23 12:51:45,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,1
2024-05-23 12:51:47,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,2
2024-05-23 12:51:59,12,50,wrackdm17,<world>,Player_172.19.119.51,0
2024-05-23 12:52:04,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,3
2024-05-23 12:52:11,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,2
2024-05-23 12:52:12,12,50,wrackdm17,<world>,Player_172.19.114.48,1
2024-05-23 12:52:14,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,1
2024-05-23 12:52:19,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,3
2024-05-23 12:52:22,12,50,wrackdm17,<world>,Player_172.19.119.51,0
2024-05-23 12:52:23,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:52:38,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,4
2024-05-23 12:52:39,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:52:44,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,2
2024-05-23 12:52:51,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.116.18,5
2024-05-23 12:52:57,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,1
2024-05-23 12:53:06,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.117.18,2
2024-05-23 12:53:09,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,3
2024-05-23 12:53:17,12,50,wrackdm17,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 12:53:20,12,50,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:53:24,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,4
2024-05-23 12:53:26,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,5
2024-05-23 12:53:27,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,6
2024-05-23 12:53:40,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:53:41,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,6
2024-05-23 12:53:54,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.120.104,7
2024-05-23 12:54:08,12,50,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:54:10,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,7
2024-05-23 12:54:10,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,8
2024-05-23 12:54:12,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.114.48,3
2024-05-23 12:54:22,12,50,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:54:25,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,8
2024-05-23 12:54:31,12,50,wrackdm17,<world>,Player_172.19.114.48,7
2024-05-23 12:54:32,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.120.104,9
2024-05-23 12:54:35,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,10
2024-05-23 12:54:36,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,4
2024-05-23 12:54:37,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,4
2024-05-23 12:54:43,12,50,wrackdm17,<world>,Player_172.19.137.208,3
2024-05-23 12:54:46,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,8
2024-05-23 12:54:52,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,5
2024-05-23 12:54:55,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,9
2024-05-23 12:55:03,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,10
2024-05-23 12:55:04,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,11
2024-05-23 12:55:05,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,11
